SOURCE: BuffClassesEDA — CU Boulder grade distributions (Spring 2016–Spring 2024)

--- CSCI 3104 — Algorithms ---

Spring 2024 | ASHRAF,ASA M | avg GPA 2.97 | N=227 | A=44% B=32% C=11% DFW=18%
Fall 2023 | ASHRAF,ASA M | avg GPA 2.88 | N=156 | A=35% B=38% C=10% DFW=19%
Fall 2023 | GODLEY,CHRISTOPHER KEITH | avg GPA 2.97 | N=112 | A=42% B=30% C=15% DFW=23%
Spring 2023 | ASHRAF,ASA M | avg GPA 3.19 | N=220 | A=51% B=31% C=10% DFW=12%
Spring 2023 | TRIVEDI,ASHUTOSH | avg GPA 3.25 | N=252 | A=53% B=32% C=6% DFW=12%
Fall 2022 | ASHRAF,ASA M | avg GPA 2.85 | N=136 | A=32% B=40% C=15% DFW=21%
Fall 2022 | ASHRAF,ASA M | avg GPA 2.80 | N=147 | A=33% B=38% C=13% DFW=24%
Spring 2022 | ASHRAF,ASA M | avg GPA 3.30 | N=110 | A=63% B=21% C=7% DFW=17%
Spring 2022 | TRIVEDI,ASHUTOSH | avg GPA 2.82 | N=119 | A=45% B=22% C=17% DFW=24%
Spring 2022 | TRIVEDI,ASHUTOSH | avg GPA 2.53 | N=10 | A=30% B=20% C=30% DFW=43%
Spring 2022 | ZAGRODZKI,MACIEJ J | avg GPA 3.43 | N=168 | A=68% B=17% C=6% DFW=14%
Fall 2021 | ASHRAF,ASA M | avg GPA 1.75 | N=104 | A=0% B=36% C=27% DFW=67%
Fall 2021 | ASHRAF,ASA M | avg GPA 2.31 | N=37 | A=27% B=24% C=19% DFW=37%
Fall 2021 | ASHRAF,ASA M | avg GPA 2.86 | N=70 | A=49% B=26% C=6% DFW=27%
Fall 2021 | ASHRAF,ASA M | avg GPA 2.34 | N=54 | A=26% B=26% C=13% DFW=44%
Spring 2021 | TRIVEDI,ASHUTOSH | avg GPA 3.09 | N=259 | A=53% B=22% C=13% DFW=18%
Spring 2021 | ZAGRODZKI,MACIEJ J | avg GPA 3.04 | N=198 | A=53% B=23% C=10% DFW=17%
Fall 2020 | ASHRAF,ASA M | avg GPA 2.81 | N=164 | A=44% B=26% C=10% DFW=28%
Fall 2020 | ZAGRODZKI,MACIEJ J | avg GPA 2.80 | N=196 | A=42% B=27% C=12% DFW=27%
Spring 2020 | ASHRAF,ASA M | avg GPA 3.40 | N=125 | A=64% B=23% C=9% DFW=11%
Spring 2020 | TRIVEDI,ASHUTOSH | avg GPA 3.04 | N=187 | A=48% B=29% C=11% DFW=23%
Spring 2020 | ZAGRODZKI,MACIEJ J | avg GPA 3.50 | N=183 | A=74% B=15% C=4% DFW=11%
Fall 2019 | GODLEY,CHRISTOPHER KEITH | avg GPA 3.07 | N=208 | A=52% B=26% C=10% DFW=20%
Fall 2019 | ZAGRODZKI,MACIEJ J | avg GPA 3.29 | N=178 | A=65% B=19% C=8% DFW=15%
Spring 2019 | AGHLI, SINA | avg GPA 2.83 | N=27 | A=56% B=19% C=4% DFW=30%
Spring 2019 | GUPTA,SHAYON | avg GPA 3.31 | N=170 | A=61% B=20% C=11% DFW=19%
